epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.21807,0.9881,3.37525,1.40489,0.39095,0.4884,0.43526,0.35148,0.6693,2.84437,1.17952,5.001e-05,5.001e-05,5.001e-05
2,4.85925,0.99031,3.18474,1.37539,0.50214,0.75,0.59479,0.52559,0.46277,2.50398,1.02326,0.000112839,0.000112839,0.000112839
3,7.44716,0.55924,1.64145,1.18148,0.93238,1,0.995,0.87983,0.50361,2.79822,1.05818,0.000171268,0.000171268,0.000171268
4,10.3016,0.42369,1.10599,1.07813,0.96556,0.99163,0.995,0.87363,0.63969,1.08179,1.13568,0.000225295,0.000225295,0.000225295
5,11.9128,0.5216,0.85857,1.13577,0.83326,0.9666,0.97,0.71313,0.89163,1.44651,1.36539,0.000274922,0.000274922,0.000274922
6,13.7012,0.43028,0.74019,1.04843,0.80934,1,0.995,0.85062,0.51603,1.09493,1.08112,0.000320147,0.000320147,0.000320147
7,15.4349,0.43736,0.77694,1.05906,0.92518,0.99063,0.995,0.90776,0.44388,0.64899,0.91839,0.000360972,0.000360972,0.000360972
8,17.2267,0.44661,0.69295,1.06936,0.96594,1,0.995,0.82865,0.54863,0.92113,1.06325,0.000397396,0.000397396,0.000397396
9,20.2915,0.44295,0.65068,1.06183,0.90864,0.97124,0.995,0.80997,0.64764,0.88637,1.14641,0.000429419,0.000429419,0.000429419
10,22.5526,0.45608,0.61061,1.03192,0.89065,0.9842,0.995,0.84733,0.54788,1.62267,1.02561,0.000457041,0.000457041,0.000457041
11,25.0178,0.45378,0.59422,1.08484,0.92623,0.875,0.97,0.6348,0.79595,1.68123,1.1974,0.000480263,0.000480263,0.000480263
12,27.7246,0.45351,0.6046,1.0451,0.88735,0.89656,0.97,0.69895,0.66443,1.17924,1.13577,0.000499083,0.000499083,0.000499083
13,29.3552,0.4456,0.55492,1.02618,0.88288,0.86836,0.84941,0.54558,0.90333,1.65994,1.31066,0.000513503,0.000513503,0.000513503
14,31.1113,0.42434,0.53753,1.04572,0.87252,0.875,0.87625,0.69726,0.69555,0.92991,1.16725,0.000523521,0.000523521,0.000523521
15,32.8162,0.46821,0.50687,1.05451,0.97061,1,0.995,0.79122,0.7943,0.7055,1.28969,0.000529139,0.000529139,0.000529139
16,34.4006,0.44816,0.55528,1.05912,0.69385,1,0.82833,0.69483,0.8004,1.27211,1.29256,0.000530356,0.000530356,0.000530356
17,36.3573,0.42412,0.57407,1.02649,0.83662,0.875,0.91545,0.78894,0.6383,0.95467,1.10664,0.000527172,0.000527172,0.000527172
18,39.2058,0.41438,0.51511,1.00294,0.96631,0.875,0.9325,0.75012,0.63261,1.06634,1.05897,0.000519587,0.000519587,0.000519587
19,40.8098,0.36352,0.42394,0.9962,0.95266,0.875,0.9325,0.75223,0.71396,1.17677,1.08757,0.000507602,0.000507602,0.000507602
20,44.4871,0.376,0.5606,1.0365,0.9615,0.875,0.94143,0.67955,0.86888,1.18867,1.17356,0.000491215,0.000491215,0.000491215
21,47.7573,0.41051,0.69428,0.9915,0.90274,0.875,0.92,0.80141,0.76129,0.69077,1.2727,0.000470427,0.000470427,0.000470427
22,50.7167,0.40527,0.61004,1.07099,0.88931,0.875,0.91545,0.78394,0.77197,0.74968,1.26482,0.000445239,0.000445239,0.000445239
23,52.9826,0.39267,0.50686,1.04479,0.77216,1,0.94143,0.76615,0.80266,1.07758,1.26669,0.00041565,0.00041565,0.00041565
24,55.0089,0.34879,0.46929,1.04043,0.72511,0.875,0.87417,0.76336,0.7846,1.00643,1.21058,0.00038166,0.00038166,0.00038166
25,56.5757,0.35211,0.49393,0.99013,0.92004,0.69877,0.87035,0.73406,0.63821,1.11882,1.06617,0.000343269,0.000343269,0.000343269
26,58.1761,0.32076,0.44992,0.98936,0.82134,0.92598,0.95333,0.77906,0.60783,0.96293,1.00058,0.000291725,0.000291725,0.000291725
27,59.7256,0.30526,0.46289,0.99059,1,0.89095,0.995,0.79372,0.58509,0.82914,0.98905,0.000236714,0.000236714,0.000236714
28,61.2202,0.31427,0.43643,0.91388,0.94196,0.92556,0.995,0.85476,0.5314,0.77229,0.96397,0.000181703,0.000181703,0.000181703
29,62.777,0.27191,0.43349,0.94208,0.9222,1,0.995,0.87044,0.5015,0.67198,0.93445,0.000126692,0.000126692,0.000126692
30,64.6917,0.2671,0.37564,0.94578,0.97315,1,0.995,0.87043,0.48906,0.57354,0.91549,7.1681e-05,7.1681e-05,7.1681e-05
