epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.1444,0.80575,2.86259,1.2657,0.00408,1,0.24729,0.18363,0.41346,2.78091,1.02912,5.001e-05,5.001e-05,5.001e-05
2,49.437,0.9,2.87155,1.30933,0.00393,1,0.47113,0.32329,0.39723,2.76557,0.97707,0.000112839,0.000112839,0.000112839
3,50.6856,0.53878,2.546,1.16868,0.0035,1,0.92,0.82704,0.42176,2.68597,0.8868,0.000171268,0.000171268,0.000171268
4,51.8773,0.50699,1.92152,1.12284,0.00341,1,0.83937,0.74345,0.44587,2.53914,0.91687,0.000225295,0.000225295,0.000225295
5,53.2188,0.47967,1.37153,1.11208,0.00334,1,0.77917,0.69626,0.69459,2.54066,1.07071,0.000274922,0.000274922,0.000274922
6,54.417,0.42689,1.09628,1.03806,0.00336,1,0.82833,0.57719,0.85897,2.59381,1.26675,0.000320147,0.000320147,0.000320147
7,56.5066,0.44285,0.96751,1.05159,0.00337,1,0.92208,0.76135,0.55338,2.40266,0.99362,0.000360972,0.000360972,0.000360972
8,58.3888,0.44409,0.94238,1.06707,0.94312,0.72799,0.95333,0.89929,0.37435,1.76632,0.86709,0.000397396,0.000397396,0.000397396
9,59.6923,0.42606,0.93517,1.08101,0.82837,0.83599,0.86851,0.81976,0.46429,1.71709,0.9311,0.000429419,0.000429419,0.000429419
10,60.8753,0.44594,0.83753,1.03347,0.8363,0.69227,0.81643,0.7807,0.44344,1.24365,0.89042,0.000457041,0.000457041,0.000457041
11,62.0628,0.42102,0.85265,1.06135,0.8168,0.92995,0.95333,0.8786,0.44051,1.10815,0.89524,0.000480263,0.000480263,0.000480263
12,63.3123,0.41976,0.83019,1.01747,0.74305,0.98024,0.97,0.8496,0.50359,1.08973,1.07153,0.000499083,0.000499083,0.000499083
13,64.5162,0.41995,0.87073,1.00347,0.96748,0.98845,0.995,0.85686,0.56785,0.90487,1.20652,0.000513503,0.000513503,0.000513503
14,65.6804,0.41618,0.84084,1.03398,0.95089,0.99708,0.995,0.85881,0.52698,0.80783,1.10859,0.000523521,0.000523521,0.000523521
15,66.9675,0.43109,0.81477,1.03346,0.9599,1,0.995,0.91173,0.41181,0.7851,0.92206,0.000529139,0.000529139,0.000529139
16,68.1805,0.44361,0.86243,1.04444,0.98192,0.97607,0.995,0.93253,0.42781,0.97471,0.92259,0.000530356,0.000530356,0.000530356
17,70.1973,0.38648,0.80693,1.01254,1,0.97132,0.995,0.92027,0.44392,1.02167,0.92188,0.000527172,0.000527172,0.000527172
18,72.0095,0.37649,0.79347,0.99247,0.95399,1,0.995,0.83029,0.51102,0.88309,0.98687,0.000519587,0.000519587,0.000519587
19,73.3282,0.36335,0.74656,0.99248,0.96722,1,0.995,0.82677,0.63932,0.87327,1.11843,0.000507602,0.000507602,0.000507602
20,74.6096,0.37733,0.77281,1.0411,0.98713,1,0.995,0.88119,0.57255,0.72571,1.0425,0.000491215,0.000491215,0.000491215
21,77.2878,0.39559,1.6567,1.0102,0.98367,0.99024,0.995,0.93272,0.45767,0.92833,0.89852,0.000470427,0.000470427,0.000470427
22,79.252,0.33971,1.45803,1.00083,0.98779,1,0.995,0.9078,0.49146,1.07564,0.91739,0.000445239,0.000445239,0.000445239
23,80.9441,0.34889,1.37218,0.97545,0.94545,0.99105,0.995,0.89847,0.50991,0.89068,0.91021,0.00041565,0.00041565,0.00041565
24,82.1666,0.33587,1.24102,1.02864,0.93666,0.9902,0.995,0.87045,0.50901,0.75608,0.92248,0.00038166,0.00038166,0.00038166
25,83.8107,0.32273,1.18748,0.97132,0.99637,0.9977,0.995,0.86215,0.54182,0.80723,0.94568,0.000343269,0.000343269,0.000343269
26,85.8252,0.33143,1.22125,1.01549,0.97773,0.9883,0.995,0.89122,0.45507,0.7554,0.92027,0.000291725,0.000291725,0.000291725
27,87.5925,0.28235,1.20039,0.96714,0.98816,1,0.995,0.91507,0.41125,0.70284,0.89156,0.000236714,0.000236714,0.000236714
28,88.8062,0.29474,1.18653,0.92448,0.98713,1,0.995,0.91405,0.40686,0.66023,0.89309,0.000181703,0.000181703,0.000181703
29,89.918,0.28769,1.16538,0.96153,0.9878,1,0.995,0.91405,0.4047,0.6135,0.89308,0.000126692,0.000126692,0.000126692
30,91.1303,0.27638,1.13676,0.9456,0.98922,1,0.995,0.91405,0.4075,0.58528,0.90113,7.1681e-05,7.1681e-05,7.1681e-05
